system,interaction,x_bin,y_bin,contact_probability_mean,contact_probability_sd,contact_probability_n
M0O100,OCT4-DNA,5,1,0.0,0.0,3
M0O100,OCT4-DNA,5,2,0.0,0.0,3
M0O100,OCT4-DNA,5,3,0.0,0.0,3
M0O100,OCT4-DNA,5,4,0.0,0.0,3
M0O100,OCT4-DNA,5,5,0.0,0.0,3
M0O100,OCT4-DNA,5,6,0.0,0.0,3
M0O100,OCT4-DNA,5,7,0.0,0.0,3
M0O100,OCT4-DNA,5,8,0.0,0.0,3
M0O100,OCT4-DNA,5,9,0.0,0.0,3
M0O100,OCT4-DNA,5,10,0.0,0.0,3
M0O100,OCT4-DNA,5,11,0.0,0.0,3
M0O100,OCT4-DNA,5,12,0.0,0.0,3
M0O100,OCT4-DNA,5,13,0.0,0.0,3
M0O100,OCT4-DNA,5,14,0.0,0.0,3
M0O100,OCT4-DNA,5,15,0.0,0.0,3
M0O100,OCT4-DNA,5,16,0.0,0.0,3
M0O100,OCT4-DNA,5,17,0.0,0.0,3
M0O100,OCT4-DNA,5,18,0.0,0.0,3
M0O100,OCT4-DNA,5,19,0.0,0.0,3
M0O100,OCT4-DNA,6,0,0.0,0.0,3
M0O100,OCT4-DNA,6,1,0.0,0.0,3
M0O100,OCT4-DNA,6,2,0.0,0.0,3
M0O100,OCT4-DNA,6,3,0.0,0.0,3
M0O100,OCT4-DNA,6,4,0.0,0.0,3
M0O100,OCT4-DNA,6,5,0.0,0.0,3
M0O100,OCT4-DNA,6,6,0.0,0.0,3
M0O100,OCT4-DNA,6,7,0.0,0.0,3
M0O100,OCT4-DNA,6,8,0.0,0.0,3
M0O100,OCT4-DNA,6,9,0.0,0.0,3
M0O100,OCT4-DNA,6,10,0.0,0.0,3
M0O100,OCT4-DNA,6,11,0.0,0.0,3
M0O100,OCT4-DNA,6,12,0.0,0.0,3
M0O100,OCT4-DNA,6,13,0.0,0.0,3
M0O100,OCT4-DNA,6,14,0.0,0.0,3
M0O100,OCT4-DNA,6,15,0.0,0.0,3
M0O100,OCT4-DNA,6,16,0.0,0.0,3
M0O100,OCT4-DNA,6,17,0.0,0.0,3
M0O100,OCT4-DNA,6,18,0.0,0.0,3
M0O100,OCT4-DNA,6,19,0.0,0.0,3
M0O100,OCT4-DNA,7,0,0.0,0.0,3
M0O100,OCT4-DNA,7,1,0.0,0.0,3
M0O100,OCT4-DNA,7,2,0.0,0.0,3
M0O100,OCT4-DNA,7,3,0.0,0.0,3
M0O100,OCT4-DNA,7,4,0.0,0.0,3
M0O100,OCT4-DNA,7,5,0.0,0.0,3
M0O100,OCT4-DNA,7,6,0.0,0.0,3
M0O100,OCT4-DNA,7,7,0.0,0.0,3
M0O100,OCT4-DNA,7,8,0.0,0.0,3
M0O100,OCT4-DNA,7,9,0.0,0.0,3
M0O100,OCT4-DNA,7,10,0.0,0.0,3
M0O100,OCT4-DNA,7,11,0.0,0.0,3
M0O100,OCT4-DNA,7,12,0.0,0.0,3
M0O100,OCT4-DNA,7,13,0.0,0.0,3
M0O100,OCT4-DNA,7,14,0.0,0.0,3
M0O100,OCT4-DNA,7,15,0.0,0.0,3
M0O100,OCT4-DNA,7,16,0.0,0.0,3
M0O100,OCT4-DNA,7,17,0.0,0.0,3
M0O100,OCT4-DNA,7,18,0.0,0.0,3
M0O100,OCT4-DNA,7,19,0.0,0.0,3
M0O100,OCT4-DNA,8,0,0.0,0.0,3
M0O100,OCT4-DNA,8,1,0.0,0.0,3
M0O100,OCT4-DNA,8,2,0.0,0.0,3
M0O100,OCT4-DNA,8,3,0.0,0.0,3
M0O100,OCT4-DNA,8,4,0.0,0.0,3
M0O100,OCT4-DNA,8,5,0.0,0.0,3
M0O100,OCT4-DNA,8,6,0.0,0.0,3
M0O100,OCT4-DNA,8,7,0.0,0.0,3
M0O100,OCT4-DNA,8,8,0.0,0.0,3
M0O100,OCT4-DNA,8,9,0.0,0.0,3
M0O100,OCT4-DNA,8,10,0.0,0.0,3
M0O100,OCT4-DNA,8,11,0.0,0.0,3
M0O100,OCT4-DNA,8,12,0.0,0.0,3
M0O100,OCT4-DNA,8,13,0.0,0.0,3
M0O100,OCT4-DNA,8,14,0.0,0.0,3
M0O100,OCT4-DNA,8,15,0.0,0.0,3
M0O100,OCT4-DNA,8,16,0.0,0.0,3
M0O100,OCT4-DNA,8,17,0.0,0.0,3
M0O100,OCT4-DNA,8,18,0.0,0.0,3
M0O100,OCT4-DNA,8,19,0.0,0.0,3
M0O100,OCT4-DNA,9,0,0.0,0.0,3
M0O100,OCT4-DNA,9,1,0.0,0.0,3
M0O100,OCT4-DNA,9,2,0.0,0.0,3
M0O100,OCT4-DNA,9,3,0.0,0.0,3
M0O100,OCT4-DNA,9,4,0.0,0.0,3
M0O100,OCT4-DNA,9,5,0.0,0.0,3
M0O100,OCT4-DNA,9,6,0.0,0.0,3
M0O100,OCT4-DNA,9,7,0.0,0.0,3
M0O100,OCT4-DNA,9,8,0.0,0.0,3
M0O100,OCT4-DNA,9,9,0.0,0.0,3
M0O100,OCT4-DNA,9,10,0.0,0.0,3
M0O100,OCT4-DNA,9,11,0.0,0.0,3
M0O100,OCT4-DNA,9,12,0.0,0.0,3
M0O100,OCT4-DNA,9,13,0.0,0.0,3
M0O100,OCT4-DNA,9,14,0.0,0.0,3
M0O100,OCT4-DNA,9,15,0.0,0.0,3
M0O100,OCT4-DNA,9,16,0.0,0.0,3
M0O100,OCT4-DNA,9,17,0.0,0.0,3
M0O100,OCT4-DNA,9,18,0.0,0.0,3
M0O100,OCT4-DNA,9,19,0.0,0.0,3
M0O100,OCT4-DNA,10,0,0.0,0.0,3
M0O100,OCT4-DNA,10,1,0.0,0.0,3
M0O100,OCT4-DNA,10,2,0.0,0.0,3
M0O100,OCT4-DNA,10,3,0.0,0.0,3
M0O100,OCT4-DNA,10,4,0.0,0.0,3
M0O100,OCT4-DNA,10,5,0.0,0.0,3
M0O100,OCT4-DNA,10,6,0.0,0.0,3
M0O100,OCT4-DNA,10,7,0.0,0.0,3
M0O100,OCT4-DNA,10,8,0.0,0.0,3
M0O100,OCT4-DNA,10,9,0.0,0.0,3
M0O100,OCT4-DNA,10,10,0.0,0.0,3
M0O100,OCT4-DNA,10,11,0.0,0.0,3
M0O100,OCT4-DNA,10,12,0.0,0.0,3
M0O100,OCT4-DNA,10,13,0.0,0.0,3
M0O100,OCT4-DNA,10,14,0.0,0.0,3
M0O100,OCT4-DNA,10,15,0.0,0.0,3
M0O100,OCT4-DNA,10,16,0.0,0.0,3
M0O100,OCT4-DNA,10,17,0.0,0.0,3
M0O100,OCT4-DNA,10,18,0.0,0.0,3
M0O100,OCT4-DNA,10,19,0.0,0.0,3
M0O100,OCT4-DNA,11,0,0.0,0.0,3
M0O100,OCT4-DNA,11,1,0.0,0.0,3
M0O100,OCT4-DNA,11,2,0.0,0.0,3
M0O100,OCT4-DNA,11,3,0.0,0.0,3
M0O100,OCT4-DNA,11,4,0.0,0.0,3
M0O100,OCT4-DNA,11,5,0.0,0.0,3
M0O100,OCT4-DNA,11,6,0.0,0.0,3
M0O100,OCT4-DNA,11,7,0.0,0.0,3
M0O100,OCT4-DNA,11,8,0.0,0.0,3
M0O100,OCT4-DNA,11,9,0.0,0.0,3
M0O100,OCT4-DNA,11,10,0.0,0.0,3
M0O100,OCT4-DNA,11,11,0.0,0.0,3
M0O100,OCT4-DNA,11,12,0.0,0.0,3
M0O100,OCT4-DNA,11,13,0.0,0.0,3
M0O100,OCT4-DNA,11,14,0.0,0.0,3
M0O100,OCT4-DNA,11,15,0.0,0.0,3
M0O100,OCT4-DNA,11,16,0.0,0.0,3
M0O100,OCT4-DNA,11,17,0.0,0.0,3
M0O100,OCT4-DNA,11,18,0.0,0.0,3
M0O100,OCT4-DNA,11,19,0.0,0.0,3
M0O100,OCT4-DNA,12,0,0.0,0.0,3
M0O100,OCT4-DNA,12,1,0.0,0.0,3
M0O100,OCT4-DNA,12,2,0.0,0.0,3
M0O100,OCT4-DNA,12,3,0.0,0.0,3
M0O100,OCT4-DNA,12,4,0.0,0.0,3
M0O100,OCT4-DNA,12,5,0.0,0.0,3
M0O100,OCT4-DNA,12,6,0.0,0.0,3
M0O100,OCT4-DNA,12,7,0.0,0.0,3
M0O100,OCT4-DNA,12,8,0.0,0.0,3
M0O100,OCT4-DNA,12,9,0.0,0.0,3
M0O100,OCT4-DNA,12,10,0.0,0.0,3
M0O100,OCT4-DNA,12,11,0.0,0.0,3
M0O100,OCT4-DNA,12,12,0.0,0.0,3
M0O100,OCT4-DNA,12,13,0.0,0.0,3
M0O100,OCT4-DNA,12,14,0.0,0.0,3
M0O100,OCT4-DNA,12,15,0.0,0.0,3
M0O100,OCT4-DNA,12,16,0.0,0.0,3
M0O100,OCT4-DNA,12,17,0.0,0.0,3
M0O100,OCT4-DNA,12,18,0.0,0.0,3
M0O100,OCT4-DNA,12,19,0.0,0.0,3
M0O100,OCT4-DNA,13,0,0.0,0.0,3
M0O100,OCT4-DNA,13,1,0.0,0.0,3
M0O100,OCT4-DNA,13,2,0.0,0.0,3
M0O100,OCT4-DNA,13,3,0.0,0.0,3
M0O100,OCT4-DNA,13,4,0.0,0.0,3
M0O100,OCT4-DNA,13,5,0.0,0.0,3
M0O100,OCT4-DNA,13,6,0.0,0.0,3
M0O100,OCT4-DNA,13,7,0.0,0.0,3
M0O100,OCT4-DNA,13,8,0.0,0.0,3
M0O100,OCT4-DNA,13,9,0.0,0.0,3
M0O100,OCT4-DNA,13,10,0.0,0.0,3
M0O100,OCT4-DNA,13,11,0.0,0.0,3
M0O100,OCT4-DNA,13,12,0.0,0.0,3
M0O100,OCT4-DNA,13,13,0.0,0.0,3
M0O100,OCT4-DNA,13,14,0.0,0.0,3
M0O100,OCT4-DNA,13,15,0.0,0.0,3
M0O100,OCT4-DNA,13,16,0.0,0.0,3
M0O100,OCT4-DNA,13,17,0.0,0.0,3
M0O100,OCT4-DNA,13,18,0.0,0.0,3
M0O100,OCT4-DNA,13,19,0.0,0.0,3
M0O100,OCT4-DNA,14,0,0.0,0.0,3
M0O100,OCT4-DNA,14,1,0.0,0.0,3
M0O100,OCT4-DNA,14,2,0.0,0.0,3
M0O100,OCT4-DNA,14,3,0.0,0.0,3
M0O100,OCT4-DNA,14,4,0.0,0.0,3
M0O100,OCT4-DNA,14,5,0.0,0.0,3
M0O100,OCT4-DNA,14,6,0.0,0.0,3
M0O100,OCT4-DNA,14,7,0.0,0.0,3
M0O100,OCT4-DNA,14,8,0.0,0.0,3
M0O100,OCT4-DNA,14,9,0.0,0.0,3
M0O100,OCT4-DNA,14,10,0.0,0.0,3
M0O100,OCT4-DNA,14,11,0.0,0.0,3
M0O100,OCT4-DNA,14,12,0.0,0.0,3
M0O100,OCT4-DNA,14,13,0.0,0.0,3
M0O100,OCT4-DNA,14,14,0.0,0.0,3
M0O100,OCT4-DNA,14,15,0.0,0.0,3
M0O100,OCT4-DNA,14,16,0.0,0.0,3
M0O100,OCT4-DNA,14,17,0.0,0.0,3
M0O100,OCT4-DNA,14,18,0.0,0.0,3
M0O100,OCT4-DNA,14,19,0.0,0.0,3
M0O100,OCT4-DNA,15,0,0.0,0.0,3
M0O100,OCT4-DNA,15,1,0.0,0.0,3
M0O100,OCT4-DNA,15,2,0.0,0.0,3
M0O100,OCT4-DNA,15,3,0.0,0.0,3
M0O100,OCT4-DNA,15,4,0.0,0.0,3
M0O100,OCT4-DNA,15,5,0.0,0.0,3
M0O100,OCT4-DNA,15,6,0.0,0.0,3
M0O100,OCT4-DNA,15,7,0.0,0.0,3
M0O100,OCT4-DNA,15,8,0.0,0.0,3
M0O100,OCT4-DNA,15,9,0.0,0.0,3
M0O100,OCT4-DNA,15,10,0.0,0.0,3
M0O100,OCT4-DNA,15,11,0.0,0.0,3
M0O100,OCT4-DNA,15,12,0.0,0.0,3
M0O100,OCT4-DNA,15,13,0.0,0.0,3
M0O100,OCT4-DNA,15,14,0.0,0.0,3
M0O100,OCT4-DNA,15,15,0.0,0.0,3
M0O100,OCT4-DNA,15,16,0.0,0.0,3
M0O100,OCT4-DNA,15,17,0.0,0.0,3
M0O100,OCT4-DNA,15,18,0.0,0.0,3
M0O100,OCT4-DNA,15,19,0.0,0.0,3
M0O100,OCT4-DNA,16,0,0.0,0.0,3
M0O100,OCT4-DNA,16,1,0.0,0.0,3
M0O100,OCT4-DNA,16,2,0.0,0.0,3
M0O100,OCT4-DNA,16,3,0.0,0.0,3
M0O100,OCT4-DNA,16,4,0.0,0.0,3
M0O100,OCT4-DNA,16,5,0.0,0.0,3
M0O100,OCT4-DNA,16,6,0.0,0.0,3
M0O100,OCT4-DNA,16,7,0.0,0.0,3
M0O100,OCT4-DNA,16,8,0.0,0.0,3
M0O100,OCT4-DNA,16,9,0.0,0.0,3
M0O100,OCT4-DNA,16,10,0.0,0.0,3
M0O100,OCT4-DNA,16,11,0.0,0.0,3
M0O100,OCT4-DNA,16,12,0.0,0.0,3
M0O100,OCT4-DNA,16,13,0.0,0.0,3
M0O100,OCT4-DNA,16,14,0.0,0.0,3
M0O100,OCT4-DNA,16,15,0.0,0.0,3
M0O100,OCT4-DNA,16,16,0.0,0.0,3
M0O100,OCT4-DNA,16,17,0.0,0.0,3
M0O100,OCT4-DNA,16,18,0.0,0.0,3
M0O100,OCT4-DNA,16,19,0.0,0.0,3
M0O100,OCT4-DNA,17,0,0.0,0.0,3
M0O100,OCT4-DNA,17,1,0.0,0.0,3
M0O100,OCT4-DNA,17,2,0.0,0.0,3
M0O100,OCT4-DNA,17,3,0.0,0.0,3
M0O100,OCT4-DNA,17,4,0.0,0.0,3
M0O100,OCT4-DNA,17,5,0.0,0.0,3
M0O100,OCT4-DNA,17,6,0.0,0.0,3
M0O100,OCT4-DNA,17,7,0.0,0.0,3
M0O100,OCT4-DNA,17,8,0.0,0.0,3
M0O100,OCT4-DNA,17,9,0.0,0.0,3
M0O100,OCT4-DNA,17,10,0.0,0.0,3
M0O100,OCT4-DNA,17,11,0.0,0.0,3
M0O100,OCT4-DNA,17,12,0.0,0.0,3
M0O100,OCT4-DNA,17,13,0.0,0.0,3
M0O100,OCT4-DNA,17,14,0.0,0.0,3
M0O100,OCT4-DNA,17,15,0.0,0.0,3
M0O100,OCT4-DNA,17,16,0.0,0.0,3
M0O100,OCT4-DNA,17,17,0.0,0.0,3
M0O100,OCT4-DNA,17,18,0.0,0.0,3
M0O100,OCT4-DNA,17,19,0.0,0.0,3
M0O100D1,OCT4-DNA,0,0,8.333333333333333e-05,0.00014433756729740645,3
M0O100D1,OCT4-DNA,0,1,0.0004166666666666667,0.0003818813079129867,3
M0O100D1,OCT4-DNA,0,2,0.0003333333333333333,0.0002886751345948129,3
M0O100D1,OCT4-DNA,0,3,0.0006666666666666666,0.0003818813079129867,3
M0O100D1,OCT4-DNA,0,4,0.0006666666666666666,0.0005773502691896258,3
M0O100D1,OCT4-DNA,0,5,0.0005,0.00025,3
M0O100D1,OCT4-DNA,0,6,0.0004166666666666667,0.00014433756729740645,3
M0O100D1,OCT4-DNA,0,7,0.0003333333333333333,0.0003818813079129867,3
M0O100D1,OCT4-DNA,0,8,0.0003333333333333333,0.0003818813079129867,3
M0O100D1,OCT4-DNA,0,9,0.00025,0.0,3
M0O100D1,OCT4-DNA,0,10,0.00025,0.00025,3
M0O100D1,OCT4-DNA,0,11,0.0004166666666666667,0.0003818813079129867,3
M0O100D1,OCT4-DNA,0,12,0.0004166666666666667,0.0003818813079129867,3
M0O100D1,OCT4-DNA,0,13,0.0007500000000000001,0.00043301270189221935,3
M0O100D1,OCT4-DNA,0,14,0.0007500000000000001,0.00043301270189221935,3
M0O100D1,OCT4-DNA,0,15,0.0003333333333333333,0.00014433756729740645,3
M0O100D1,OCT4-DNA,0,16,0.00016666666666666666,0.0002886751345948129,3
M0O100D1,OCT4-DNA,0,17,0.0004166666666666667,0.0003818813079129867,3
M0O100D1,OCT4-DNA,0,18,0.00025,0.00025,3
M0O100D1,OCT4-DNA,0,19,0.0004166666666666667,0.0003818813079129867,3
M0O100D1,OCT4-DNA,1,0,0.0003333333333333333,0.00014433756729740642,3
M0O100D1,OCT4-DNA,1,1,0.00025,0.00025,3
M0O100D1,OCT4-DNA,1,2,0.00016666666666666666,0.00014433756729740645,3
M0O100D1,OCT4-DNA,1,3,0.00016666666666666666,0.00014433756729740645,3
M0O100D1,OCT4-DNA,1,4,0.0004166666666666667,0.0003818813079129867,3
M0O100D1,OCT4-DNA,1,5,0.0006666666666666666,0.00014433756729740645,3
M0O100D1,OCT4-DNA,1,6,0.0005,0.00025,3
M0O100D1,OCT4-DNA,1,7,0.0004166666666666667,0.0005204164998665331,3
M0O100D1,OCT4-DNA,1,8,0.0006666666666666666,0.0003818813079129867,3
M0O100D1,OCT4-DNA,1,9,0.0005,0.0008660254037844387,3
M0O100D1,OCT4-DNA,1,10,0.00025,0.00025,3
M0O100D1,OCT4-DNA,1,11,0.0003333333333333333,0.00014433756729740645,3
M0O100D1,OCT4-DNA,1,12,0.0005,0.00025,3
M0O100D1,OCT4-DNA,1,13,0.0003333333333333333,0.00014433756729740645,3
M0O100D1,OCT4-DNA,1,14,0.00025,0.00025,3
M0O100D1,OCT4-DNA,1,15,0.0006666666666666666,0.0002886751345948129,3
M0O100D1,OCT4-DNA,1,16,0.00016666666666666666,0.0002886751345948129,3
M0O100D1,OCT4-DNA,1,17,0.0003333333333333333,0.0005773502691896258,3
M0O100D1,OCT4-DNA,1,18,0.00025,0.00043301270189221935,3
M0O100D1,OCT4-DNA,1,19,0.00025,0.0,3
M0O100D1,OCT4-DNA,2,0,0.0008333333333333334,0.00014433756729740645,3
M0O100D1,OCT4-DNA,2,1,0.0006666666666666666,0.0003818813079129867,3
M0O100D1,OCT4-DNA,2,2,0.0004166666666666667,0.00014433756729740645,3
M0O100D1,OCT4-DNA,2,3,0.0008333333333333334,0.0005204164998665331,3
M0O100D1,OCT4-DNA,2,4,0.0008333333333333334,0.0006291528696058958,3
M0O100D1,OCT4-DNA,2,5,0.0011666666666666668,0.0005204164998665331,3
M0O100D1,OCT4-DNA,2,6,0.0013333333333333333,0.0003818813079129866,3
M0O100D1,OCT4-DNA,2,7,0.0008333333333333334,0.0005773502691896258,3
M0O100D1,OCT4-DNA,2,8,0.0009166666666666666,0.00014433756729740645,3
M0O100D1,OCT4-DNA,2,9,0.0013333333333333333,0.0003818813079129866,3
M0O100D1,OCT4-DNA,2,10,0.0013333333333333333,0.00014433756729740648,3
M0O100D1,OCT4-DNA,2,11,0.0007500000000000001,0.0005,3
M0O100D1,OCT4-DNA,2,12,0.00125,0.00024999999999999995,3
M0O100D1,OCT4-DNA,2,13,0.0007500000000000001,0.0009013878188659974,3
M0O100D1,OCT4-DNA,2,14,0.00125,0.001,3
M0O100D1,OCT4-DNA,2,15,0.0009166666666666666,0.0005204164998665331,3
M0O100D1,OCT4-DNA,2,16,0.001,0.0006614378277661477,3
M0O100D1,OCT4-DNA,2,17,0.0005,0.00025,3
M0O100D1,OCT4-DNA,2,18,0.0005,0.00025,3
M0O100D1,OCT4-DNA,2,19,0.0013333333333333333,0.0005204164998665333,3
M0O100D1,OCT4-DNA,3,0,0.0025,0.0004330127018922194,3
M0O100D1,OCT4-DNA,3,1,0.0018333333333333333,0.0005204164998665331,3
M0O100D1,OCT4-DNA,3,2,0.00225,0.0007500000000000001,3
M0O100D1,OCT4-DNA,3,3,0.0019166666666666666,0.001181453906563152,3
M0O100D1,OCT4-DNA,3,4,0.0011666666666666668,0.0005204164998665331,3
M0O100D1,OCT4-DNA,3,5,0.0021666666666666666,0.0003818813079129867,3
M0O100D1,OCT4-DNA,3,6,0.0015833333333333333,0.0005204164998665331,3
M0O100D1,OCT4-DNA,3,7,0.00175,0.00043301270189221935,3
M0O100D1,OCT4-DNA,3,8,0.0016666666666666668,0.00014433756729740637,3
M0O100D1,OCT4-DNA,3,9,0.002166666666666667,0.0010408329997330665,3
M0O100D1,OCT4-DNA,3,10,0.0017499999999999998,0.0004330127018922192,3
M0O100D1,OCT4-DNA,3,11,0.0017499999999999998,0.0006614378277661477,3
M0O100D1,OCT4-DNA,3,12,0.0028333333333333335,0.0006291528696058961,3
M0O100D1,OCT4-DNA,3,13,0.0016666666666666668,0.0011814539065631523,3
M0O100D1,OCT4-DNA,3,14,0.00225,0.0006614378277661478,3
M0O100D1,OCT4-DNA,3,15,0.0027500000000000003,0.0005,3
M0O100D1,OCT4-DNA,3,16,0.0026666666666666666,0.0008779711460710616,3
M0O100D1,OCT4-DNA,3,17,0.002,0.00024999999999999984,3
M0O100D1,OCT4-DNA,3,18,0.0017499999999999998,0.0004999999999999999,3
M0O100D1,OCT4-DNA,3,19,0.002416666666666667,0.0009464847243000457,3
M0O100D1,OCT4-DNA,4,0,0.0009166666666666666,0.0008779711460710616,3
M0O100D1,OCT4-DNA,4,1,0.0007500000000000001,0.0008660254037844387,3
M0O100D1,OCT4-DNA,4,2,0.001,0.00025,3
M0O100D1,OCT4-DNA,4,3,0.0009166666666666666,0.0013768926368215254,3
M0O100D1,OCT4-DNA,4,4,0.0006666666666666666,0.00014433756729740642,3
M0O100D1,OCT4-DNA,4,5,0.0009166666666666666,0.0006291528696058958,3
M0O100D1,OCT4-DNA,4,6,0.0007500000000000001,0.00043301270189221935,3
M0O100D1,OCT4-DNA,4,7,0.001,0.0005,3
M0O100D1,OCT4-DNA,4,8,0.001,0.00075,3
M0O100D1,OCT4-DNA,4,9,0.0011666666666666668,0.00028867513459481284,3
M0O100D1,OCT4-DNA,4,10,0.0008333333333333334,0.0006291528696058959,3
M0O100D1,OCT4-DNA,4,11,0.0007500000000000001,0.0005,3
M0O100D1,OCT4-DNA,4,12,0.0014166666666666668,0.0005204164998665331,3
M0O100D1,OCT4-DNA,4,13,0.0006666666666666666,0.0005204164998665331,3
M0O100D1,OCT4-DNA,4,14,0.0008333333333333334,0.0003818813079129867,3
M0O100D1,OCT4-DNA,4,15,0.001,0.00025,3
M0O100D1,OCT4-DNA,4,16,0.0009166666666666666,0.0008036375634160796,3
